product_id,name,time,source,intended_usage,cores,threads,tdp (W)
M128-30,M128-30,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,128,128,183.0
M128-28,M128-28,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,128,128,154.0
M128-26,M128-26,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,128,128,133.0
M96-30,M96-30,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,96,96,157.0
M96-28,M96-28,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,96,96,132.0
Q80-30,Q80-30,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,80,80,161.0
Q80-28,Q80-28,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,80,80,124.0
Q80-26,Q80-26,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,80,80,113.0
Q64-30,Q64-30,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,64,64,124.0
Q64-26,Q64-26,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,64,64,87.0
Q64-22,Q64-22,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,64,64,69.0
Q32-17,Q32-17,2025-09-15,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,artificial intelligence; cloud; edge; compute cluster,32,32,40.0
AmpereOne A192-32X,AmpereOne A192-32X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,192,192,283.0
AmpereOne A192-26X,AmpereOne A192-26X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,192,192,211.0
AmpereOne A160-28X,AmpereOne A160-28X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,160,160,214.0
AmpereOne A144-27X,AmpereOne A144-27X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,144,144,202.0
AmpereOne A144-24X,AmpereOne A144-24X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,144,144,194.0
AmpereOne A128-34X,AmpereOne A128-34X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,128,128,275.0
AmpereOne A96-37X,AmpereOne A96-37X,2025-09-15,https://amperecomputing.com/briefs/ampereone-family-product-brief,cloud; compute cluster,96,96,273.0
AmpereOne A192-32M,AmpereOne A192-32M,2025-09-15,https://amperecomputing.com/briefs/ampereone-m-product-brief,compute cluster,192,192,348.0
AmpereOne A192-26M,AmpereOne A192-26M,2025-09-15,https://amperecomputing.com/briefs/ampereone-m-product-brief,compute cluster,192,192,278.0
AmpereOne A160-28M,AmpereOne A160-28M,2025-09-15,https://amperecomputing.com/briefs/ampereone-m-product-brief,compute cluster,160,160,262.0
AmpereOne A144-33M,AmpereOne A144-33M,2025-09-15,https://amperecomputing.com/briefs/ampereone-m-product-brief,compute cluster,144,144,334.0
AmpereOne A144-26M,AmpereOne A144-26M,2025-09-15,https://amperecomputing.com/briefs/ampereone-m-product-brief,compute cluster,144,144,239.0
AmpereOne A96-36M,AmpereOne A96-36M,2025-09-15,https://amperecomputing.com/briefs/ampereone-m-product-brief,compute cluster,96,96,331.0